CONTAINER      NAME                                                                                                    CPU %     MEM USAGE / LIMIT     NET I/O           BLOCK I/O     PIDS
ec17c381aecc   dev-peer0.org2.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   1.16%     29.7MiB / 2GiB        6.71MB / 2.67MB   0B / 0B       8
c936f8ce58ce   dev-peer7.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   0.87%     7.949MiB / 2GiB       915kB / 387kB     0B / 0B       7
1b91ff1a660c   dev-peer5.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   0.74%     7.918MiB / 2GiB       966kB / 408kB     0B / 0B       8
5e219326626a   dev-peer3.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   0.61%     8.113MiB / 2GiB       1MB / 425kB       0B / 0B       8
4c75378b1eb8   dev-peer4.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   0.72%     8.051MiB / 2GiB       979kB / 410kB     0B / 0B       8
78ab195fe9be   dev-peer2.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   0.62%     8.266MiB / 2GiB       964kB / 405kB     0B / 0B       7
66a116cb08e9   dev-peer6.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   0.78%     8.203MiB / 2GiB       1.02MB / 418kB    0B / 0B       7
1ba5731ce288   dev-peer1.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   0.67%     8.062MiB / 2GiB       1.02MB / 431kB    0B / 0B       7
dd757f69cdc4   peer7.org1.example.com                                                                                  19.60%    147.8MiB / 11.57GiB   74.1MB / 58MB     0B / 17.5MB   14
82087b71a034   peer6.org1.example.com                                                                                  19.38%    142.8MiB / 11.57GiB   74.4MB / 65.9MB   0B / 16.3MB   15
38688619acff   peer5.org1.example.com                                                                                  23.09%    153.1MiB / 11.57GiB   73.6MB / 68.3MB   0B / 18.2MB   14
