CONTAINER      NAME                                                                                                    CPU %     MEM USAGE / LIMIT     NET I/O           BLOCK I/O         PIDS
ee97686dfd5a   dev-peer3.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   24.33%    8.562MiB / 2GiB       250MB / 208MB     0B / 0B           10
93ca131dc036   dev-peer1.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   23.98%    8.707MiB / 2GiB       250MB / 208MB     0B / 0B           10
3c8c73db405c   dev-peer2.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   25.18%    8.301MiB / 2GiB       250MB / 208MB     8.19kB / 0B       9
71cba593f034   peer3.org1.example.com                                                                                  13.72%    95.59MiB / 11.57GiB   229MB / 661MB     1.69MB / 30.3MB   12
5c331ce2079d   peer2.org1.example.com                                                                                  13.42%    89.81MiB / 11.57GiB   227MB / 661MB     0B / 3.43MB       12
f15ece11cd6b   peer1.org1.example.com                                                                                  11.92%    92.68MiB / 11.57GiB   226MB / 661MB     131kB / 3.43MB    11
3219fc43a97f   cli                                                                                                     0.00%     12.15MiB / 11.57GiB   109kB / 17.4kB    14.4MB / 336kB    1
ce3a5a7ec086   peer0.org1.example.com                                                                                  36.50%    231.6MiB / 11.57GiB   708MB / 508MB     9.4MB / 3.35MB    12
33865ddd67d6   peer0.org2.example.com                                                                                  1.24%     84.01MiB / 11.57GiB   8.28MB / 5.4MB    19.9MB / 3.35MB   10
b7b76a86372b   orderer.example.com                                                                                     0.05%     20.7MiB / 11.57GiB    524kB / 1.31MB    19.7MB / 500kB    9
d246828719b3   couchdb0                                                                                                158.76%   239.5MiB / 11.57GiB   21.6MB / 533MB    11.9MB / 1.41MB   42
5fc5677fdddf   couchdb1                                                                                                0.94%     70.45MiB / 11.57GiB   361kB / 337kB     16.7MB / 1.41MB   42
965ac28a4af2   ca_org1                                                                                                 0.00%     7.18MiB / 11.57GiB    46.4kB / 77.5kB   2.62MB / 1.13MB   8
