CONTAINER      NAME                                                                                                    CPU %     MEM USAGE / LIMIT     NET I/O           BLOCK I/O         PIDS
d83f850aa6d0   dev-peer3.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   33.45%    9.859MiB / 2GiB       278MB / 234MB     0B / 0B           10
db2b896e9fa8   dev-peer2.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   30.82%    10.49MiB / 2GiB       279MB / 235MB     0B / 0B           9
79b3959af5a9   peer3.org1.example.com                                                                                  14.87%    98.99MiB / 11.57GiB   249MB / 735MB     28.7kB / 3.58MB   11
173957f1efd7   peer2.org1.example.com                                                                                  13.73%    113.7MiB / 11.57GiB   247MB / 737MB     0B / 3.57MB       12
6b52a2feedf3   peer1.org1.example.com                                                                                  8.93%     107MiB / 11.57GiB     248MB / 738MB     0B / 3.57MB       11
b9227a1b2c76   cli                                                                                                     0.00%     1.09MiB / 11.57GiB    109kB / 17.4kB    389kB / 336kB     1
6ca81a83e58f   peer0.org2.example.com                                                                                  1.07%     101.5MiB / 11.57GiB   6.56MB / 3.6MB    0B / 3.43MB       10
6e86fd93aec3   peer0.org1.example.com                                                                                  31.52%    197.5MiB / 11.57GiB   560MB / 157MB     0B / 3.43MB       12
a837ede80b9a   couchdb1                                                                                                4.65%     58.28MiB / 11.57GiB   565kB / 565kB     0B / 1.55MB       42
81e37aa368a6   orderer.example.com                                                                                     0.06%     24.09MiB / 11.57GiB   532kB / 1.55MB    0B / 618kB        10
11d434a1ec2f   couchdb0                                                                                                184.18%   134.3MiB / 11.57GiB   23.7MB / 508MB    0B / 1.55MB       42
0c2259c3986b   ca_org2                                                                                                 0.00%     7.137MiB / 11.57GiB   27.4kB / 35.5kB   0B / 737kB        7
3c078f73c206   ca_orderer                                                                                              0.00%     7.188MiB / 11.57GiB   22.7kB / 27.2kB   0B / 659kB        7
57600c10fef7   ca_org1                                                                                                 0.00%     7.203MiB / 11.57GiB   46.1kB / 77.6kB   0B / 1.13MB       8
CONTAINER      NAME                                                                                                    CPU %     MEM USAGE / LIMIT     NET I/O           BLOCK I/O         PIDS
24bb6ee4d692   dev-peer0.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   22.84%    16.68MiB / 2GiB       60.6MB / 46.2MB   0B / 0B           9
17fd564de689   dev-peer1.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   13.79%    8.996MiB / 2GiB       285MB / 240MB     0B / 0B           10
bfbf1d127563   dev-peer0.org2.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   0.00%     5.902MiB / 2GiB       661kB / 787kB     0B / 0B           7
d83f850aa6d0   dev-peer3.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   34.71%    11.61MiB / 2GiB       284MB / 238MB     0B / 0B           10
db2b896e9fa8   dev-peer2.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   23.71%    9.723MiB / 2GiB       285MB / 239MB     0B / 0B           9
79b3959af5a9   peer3.org1.example.com                                                                                  14.52%    112.1MiB / 11.57GiB   254MB / 749MB     28.7kB / 3.58MB   11
173957f1efd7   peer2.org1.example.com                                                                                  11.46%    124.9MiB / 11.57GiB   252MB / 751MB     0B / 3.57MB       12
6b52a2feedf3   peer1.org1.example.com                                                                                  6.15%     107MiB / 11.57GiB     252MB / 752MB     0B / 3.57MB       11
b9227a1b2c76   cli                                                                                                     0.00%     1.09MiB / 11.57GiB    109kB / 17.4kB    389kB / 336kB     1
6ca81a83e58f   peer0.org2.example.com                                                                                  0.67%     101.5MiB / 11.57GiB   6.58MB / 3.62MB   0B / 3.43MB       10
6e86fd93aec3   peer0.org1.example.com                                                                                  39.60%    197.6MiB / 11.57GiB   578MB / 172MB     0B / 3.43MB       12
a837ede80b9a   couchdb1                                                                                                1.07%     58.28MiB / 11.57GiB   565kB / 565kB     0B / 1.55MB       42
81e37aa368a6   orderer.example.com                                                                                     0.04%     24.09MiB / 11.57GiB   533kB / 1.55MB    0B / 618kB        10
11d434a1ec2f   couchdb0                                                                                                184.63%   138.4MiB / 11.57GiB   24.3MB / 521MB    0B / 1.55MB       42
0c2259c3986b   ca_org2                                                                                                 0.00%     7.137MiB / 11.57GiB   27.4kB / 35.5kB   0B / 737kB        7
3c078f73c206   ca_orderer                                                                                              0.00%     7.188MiB / 11.57GiB   22.7kB / 27.2kB   0B / 659kB        7
57600c10fef7   ca_org1                                                                                                 0.00%     7.203MiB / 11.57GiB   46.1kB / 77.6kB   0B / 1.13MB       8
CONTAINER      NAME                                                                                                    CPU %     MEM USAGE / LIMIT     NET I/O           BLOCK I/O         PIDS
24bb6ee4d692   dev-peer0.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   23.51%    17.66MiB / 2GiB       65MB / 50.1MB     0B / 0B           9
17fd564de689   dev-peer1.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   20.24%    9.359MiB / 2GiB       290MB / 244MB     0B / 0B           10
bfbf1d127563   dev-peer0.org2.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   0.00%     5.902MiB / 2GiB       661kB / 787kB     0B / 0B           7
d83f850aa6d0   dev-peer3.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   31.51%    11.52MiB / 2GiB       289MB / 243MB     0B / 0B           10
db2b896e9fa8   dev-peer2.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   19.85%    9.371MiB / 2GiB       290MB / 243MB     0B / 0B           9
79b3959af5a9   peer3.org1.example.com                                                                                  12.58%    112.6MiB / 11.57GiB   258MB / 763MB     28.7kB / 3.58MB   11
173957f1efd7   peer2.org1.example.com                                                                                  8.02%     124.9MiB / 11.57GiB   256MB / 765MB     0B / 3.57MB       12
6b52a2feedf3   peer1.org1.example.com                                                                                  8.76%     109.6MiB / 11.57GiB   257MB / 766MB     0B / 3.57MB       11
b9227a1b2c76   cli                                                                                                     0.00%     1.09MiB / 11.57GiB    109kB / 17.4kB    389kB / 336kB     1
6ca81a83e58f   peer0.org2.example.com                                                                                  0.60%     101.5MiB / 11.57GiB   6.6MB / 3.64MB    0B / 3.43MB       10
6e86fd93aec3   peer0.org1.example.com                                                                                  42.80%    187.5MiB / 11.57GiB   593MB / 184MB     0B / 3.43MB       12
a837ede80b9a   couchdb1                                                                                                4.11%     58.28MiB / 11.57GiB   565kB / 565kB     0B / 1.55MB       42
81e37aa368a6   orderer.example.com                                                                                     0.06%     24.09MiB / 11.57GiB   534kB / 1.55MB    0B / 618kB        10
11d434a1ec2f   couchdb0                                                                                                173.22%   138.2MiB / 11.57GiB   24.8MB / 532MB    0B / 1.55MB       42
0c2259c3986b   ca_org2                                                                                                 0.00%     7.137MiB / 11.57GiB   27.4kB / 35.5kB   0B / 737kB        7
3c078f73c206   ca_orderer                                                                                              0.00%     7.188MiB / 11.57GiB   22.7kB / 27.2kB   0B / 659kB        7
57600c10fef7   ca_org1                                                                                                 0.00%     7.203MiB / 11.57GiB   46.1kB / 77.6kB   0B / 1.13MB       8
CONTAINER      NAME                                                                                                    CPU %     MEM USAGE / LIMIT     NET I/O           BLOCK I/O         PIDS
