CONTAINER      NAME                                                                                                    CPU %     MEM USAGE / LIMIT     NET I/O           BLOCK I/O     PIDS
a72317bb1012   orderer.example.com                                                                                     0.09%     19.57MiB / 11.57GiB   261kB / 982kB     0B / 500kB    12
06570e84cacd   couchdb0                                                                                                125.12%   113.6MiB / 11.57GiB   12.7MB / 413MB    0B / 1.42MB   42
64b3d7dc3419   ca_org1                                                                                                 0.00%     7.41MiB / 11.57GiB    46.4kB / 77.8kB   0B / 1.13MB   7
8098c80205e5   ca_org2                                                                                                 0.00%     7.117MiB / 11.57GiB   27.2kB / 35.4kB   0B / 737kB    7
f4bf6573cc65   ca_orderer                                                                                              0.00%     7.109MiB / 11.57GiB   23kB / 27.2kB     0B / 659kB    8
CONTAINER      NAME                                                                                                    CPU %     MEM USAGE / LIMIT     NET I/O           BLOCK I/O     PIDS
d759e481e4ac   dev-peer0.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   30.26%    12.34MiB / 2GiB       186MB / 156MB     0B / 0B       9
564cb404308c   dev-peer0.org2.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   0.00%     5.703MiB / 2GiB       324kB / 382kB     0B / 0B       7
6fbaa2281f37   dev-peer1.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   23.69%    8.945MiB / 2GiB       192MB / 160MB     0B / 0B       9
bb85d2ea2e20   dev-peer2.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   22.85%    8.773MiB / 2GiB       192MB / 160MB     0B / 0B       9
003602e37b49   dev-peer3.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   23.08%    8.98MiB / 2GiB        192MB / 160MB     0B / 0B       9
6640668c08c7   peer3.org1.example.com                                                                                  11.69%    103MiB / 11.57GiB     175MB / 504MB     0B / 3.43MB   10
3300305257ae   peer2.org1.example.com                                                                                  10.07%    103.6MiB / 11.57GiB   172MB / 505MB     0B / 3.44MB   11
d682d9a12dd8   peer1.org1.example.com                                                                                  12.63%    89.41MiB / 11.57GiB   172MB / 505MB     0B / 3.43MB   11
e2e6ace26dad   cli                                                                                                     0.00%     1.059MiB / 11.57GiB   109kB / 17.7kB    0B / 336kB    1
1f89ad65cd4c   peer0.org1.example.com                                                                                  51.41%    153.2MiB / 11.57GiB   595MB / 499MB     0B / 3.35MB   13
b67642bca6e1   peer0.org2.example.com                                                                                  1.29%     66.41MiB / 11.57GiB   5.57MB / 2.67MB   0B / 3.37MB   10
f44dcc617cde   couchdb1                                                                                                0.23%     55.62MiB / 11.57GiB   359kB / 335kB     0B / 1.42MB   42
a72317bb1012   orderer.example.com                                                                                     0.06%     19.57MiB / 11.57GiB   261kB / 982kB     0B / 500kB    12
06570e84cacd   couchdb0                                                                                                145.04%   109.7MiB / 11.57GiB   13.2MB / 426MB    0B / 1.42MB   42
64b3d7dc3419   ca_org1                                                                                                 0.00%     7.41MiB / 11.57GiB    46.4kB / 77.8kB   0B / 1.13MB   7
8098c80205e5   ca_org2                                                                                                 0.00%     7.117MiB / 11.57GiB   27.2kB / 35.4kB   0B / 737kB    7
f4bf6573cc65   ca_orderer                                                                                              0.00%     7.109MiB / 11.57GiB   23kB / 27.2kB     0B / 659kB    8
CONTAINER      NAME                                                                                                    CPU %     MEM USAGE / LIMIT     NET I/O           BLOCK I/O     PIDS
d759e481e4ac   dev-peer0.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   22.43%    13.09MiB / 2GiB       190MB / 159MB     0B / 0B       9
