CONTAINER      NAME                                                                                                    CPU %     MEM USAGE / LIMIT     NET I/O           BLOCK I/O         PIDS
38a91a5e521b   dev-peer3.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   2.24%     8.176MiB / 2GiB       2.54MB / 1.13MB   0B / 0B           8
1dcb238ff873   dev-peer1.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   3.15%     8.086MiB / 2GiB       2.5MB / 1.09MB    0B / 0B           7
1a00a97eefae   dev-peer2.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   2.39%     8.273MiB / 2GiB       2.52MB / 1.1MB    0B / 0B           8
e368eeac52a9   peer3.org1.example.com                                                                                  21.45%    136.7MiB / 11.57GiB   113MB / 96.1MB    1.68MB / 58.7MB   13
5a3b44a74e0d   peer2.org1.example.com                                                                                  22.28%    152.2MiB / 11.57GiB   113MB / 103MB     61.4kB / 31MB     13
f52bcfec683a   peer1.org1.example.com                                                                                  28.12%    134.3MiB / 11.57GiB   108MB / 94.1MB    168kB / 32.2MB    15
2298505756fe   cli                                                                                                     0.00%     12.11MiB / 11.57GiB   109kB / 17.5kB    14.5MB / 336kB    1
fb36a2f9286f   peer0.org2.example.com                                                                                  21.90%    135.4MiB / 11.57GiB   36.5MB / 28.3MB   12.8MB / 14.8MB   14
4e91c5796a73   peer0.org1.example.com                                                                                  15.18%    137MiB / 11.57GiB     110MB / 93.4MB    16.5MB / 16.5MB   12
4dcc78dc2550   couchdb0                                                                                                23.19%    75.57MiB / 11.57GiB   1.68MB / 1.71MB   15.8MB / 12.2MB   42
c3d37a692212   couchdb1                                                                                                34.63%    86.96MiB / 11.57GiB   2.85MB / 3.05MB   12.6MB / 10.9MB   42
acbdacfc7222   orderer.example.com                                                                                     10.15%    67.3MiB / 11.57GiB    24.3MB / 90MB     19.6MB / 48.5MB   14
ff0305c4c2b6   ca_orderer                                                                                              0.00%     7.02MiB / 11.57GiB    23.2kB / 27.2kB   598kB / 659kB     8
271d8fb0e207   ca_org2                                                                                                 0.00%     7.133MiB / 11.57GiB   27.5kB / 35.5kB   573kB / 737kB     8
1a78b71dfe73   ca_org1                                                                                                 0.00%     7.715MiB / 11.57GiB   46.7kB / 77.7kB   23.2MB / 1.13MB   7
CONTAINER      NAME                                                                                                    CPU %     MEM USAGE / LIMIT     NET I/O           BLOCK I/O         PIDS
d0d7d1243640   dev-peer0.org2.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   8.35%     11.19MiB / 2GiB       10.9MB / 4.62MB   0B / 0B           9
8edfc6e3bab9   dev-peer0.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   2.33%     8.359MiB / 2GiB       3.57MB / 2.02MB   8.19kB / 0B       8
38a91a5e521b   dev-peer3.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   2.31%     8.129MiB / 2GiB       2.8MB / 1.23MB    0B / 0B           8
1dcb238ff873   dev-peer1.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   2.59%     8.082MiB / 2GiB       2.74MB / 1.19MB   0B / 0B           7
1a00a97eefae   dev-peer2.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   2.03%     8.414MiB / 2GiB       2.81MB / 1.23MB   0B / 0B           8
e368eeac52a9   peer3.org1.example.com                                                                                  24.79%    148.2MiB / 11.57GiB   127MB / 110MB     1.68MB / 61.9MB   14
