CONTAINER      NAME                                                                                                    CPU %     MEM USAGE / LIMIT     NET I/O           BLOCK I/O       PIDS
ce2cc2b841dd   peer2.org2.example.com                                                                                  2.92%     83.65MiB / 11.57GiB   6.06MB / 3.13MB   0B / 3.43MB     10
cfe9e87c5865   peer1.org2.example.com                                                                                  2.06%     84.64MiB / 11.57GiB   6.09MB / 3.11MB   0B / 3.43MB     10
580daecde2b3   peer3.org1.example.com                                                                                  17.23%    88.85MiB / 11.57GiB   24.4MB / 58MB     0B / 3.44MB     10
d412be458b33   peer2.org1.example.com                                                                                  18.76%    79.24MiB / 11.57GiB   24.5MB / 58MB     0B / 3.43MB     10
de1839e03f38   peer1.org1.example.com                                                                                  19.05%    80.66MiB / 11.57GiB   24.4MB / 58.1MB   0B / 3.43MB     10
41032be9efd7   cli                                                                                                     0.00%     1.07MiB / 11.57GiB    110kB / 17.4kB    0B / 336kB      1
1d022ede98c8   peer0.org1.example.com                                                                                  21.67%    91.12MiB / 11.57GiB   69.9MB / 57.6MB   0B / 3.36MB     11
cfbeb89ca648   peer0.org2.example.com                                                                                  1.60%     71.37MiB / 11.57GiB   6.98MB / 4.06MB   0B / 3.36MB     10
a52ef1eafd43   couchdb0                                                                                                124.45%   60.48MiB / 11.57GiB   1.48MB / 45.9MB   0B / 1.41MB     42
3f41b9cb9a7c   couchdb1                                                                                                1.90%     55.45MiB / 11.57GiB   362kB / 338kB     0B / 1.41MB     42
f468fff84ef9   orderer.example.com                                                                                     0.06%     15.09MiB / 11.57GiB   246kB / 1.39MB    123kB / 504kB   9
1a45b6ea5380   ca_org2                                                                                                 0.00%     7.316MiB / 11.57GiB   46.9kB / 77.2kB   0B / 1.13MB     8
a1f9045aee12   ca_orderer                                                                                              0.00%     7.195MiB / 11.57GiB   24kB / 27.2kB     0B / 659kB      7
9d7311074e90   ca_org1                                                                                                 0.00%     7.184MiB / 11.57GiB   47.4kB / 77.7kB   0B / 1.13MB     7
CONTAINER      NAME                                                                                                    CPU %     MEM USAGE / LIMIT     NET I/O           BLOCK I/O       PIDS
84e7a3a3d7c5   dev-peer0.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   23.75%    9.133MiB / 2GiB       24.9MB / 20.9MB   0B / 0B         8
31a943db948e   dev-peer0.org2.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   0.00%     5.812MiB / 2GiB       355kB / 419kB     0B / 0B         7
6cc19a534190   dev-peer1.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   20.38%    8.363MiB / 2GiB       26.1MB / 21.8MB   0B / 0B         8
fb9114b209da   dev-peer3.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   21.55%    8.203MiB / 2GiB       26MB / 21.7MB     0B / 0B         9
d3772be92cd6   dev-peer2.org2.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   0.00%     5.145MiB / 2GiB       7.63kB / 4.45kB   0B / 0B         7
466e51efcc70   dev-peer1.org2.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   0.00%     5.348MiB / 2GiB       7.76kB / 4.56kB   0B / 0B         7
e4efb9669bcf   dev-peer2.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   24.09%    8.18MiB / 2GiB        26.1MB / 21.8MB   0B / 0B         9
6d5ec4da5944   dev-peer3.org2.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   0.00%     5.566MiB / 2GiB       7.59kB / 4.34kB   0B / 0B         7
06a857bd7e05   peer3.org2.example.com                                                                                  1.22%     86.29MiB / 11.57GiB   6.05MB / 3.07MB   0B / 3.44MB     10
ce2cc2b841dd   peer2.org2.example.com                                                                                  0.92%     83.62MiB / 11.57GiB   6.09MB / 3.15MB   0B / 3.43MB     10
cfe9e87c5865   peer1.org2.example.com                                                                                  3.34%     84.7MiB / 11.57GiB    6.13MB / 3.14MB   0B / 3.43MB     10
580daecde2b3   peer3.org1.example.com                                                                                  11.21%    89.23MiB / 11.57GiB   29MB / 71.5MB     0B / 3.44MB     10
d412be458b33   peer2.org1.example.com                                                                                  10.85%    78.94MiB / 11.57GiB   29MB / 71.6MB     0B / 3.43MB     10
de1839e03f38   peer1.org1.example.com                                                                                  10.89%    80.7MiB / 11.57GiB    28.8MB / 71.5MB   0B / 3.43MB     10
41032be9efd7   cli                                                                                                     0.00%     1.07MiB / 11.57GiB    110kB / 17.4kB    0B / 336kB      1
1d022ede98c8   peer0.org1.example.com                                                                                  42.39%    93.46MiB / 11.57GiB   85.3MB / 69.9MB   0B / 3.36MB     11
cfbeb89ca648   peer0.org2.example.com                                                                                  1.88%     72.4MiB / 11.57GiB    7.02MB / 4.09MB   0B / 3.36MB     10
a52ef1eafd43   couchdb0                                                                                                158.46%   70.01MiB / 11.57GiB   1.8MB / 57.1MB    0B / 1.41MB     42
3f41b9cb9a7c   couchdb1                                                                                                1.19%     55.45MiB / 11.57GiB   362kB / 338kB     0B / 1.41MB     42
f468fff84ef9   orderer.example.com                                                                                     0.04%     15.09MiB / 11.57GiB   246kB / 1.39MB    123kB / 504kB   9
1a45b6ea5380   ca_org2                                                                                                 0.00%     7.316MiB / 11.57GiB   46.9kB / 77.2kB   0B / 1.13MB     8
a1f9045aee12   ca_orderer                                                                                              0.00%     7.195MiB / 11.57GiB   24kB / 27.2kB     0B / 659kB      7
9d7311074e90   ca_org1                                                                                                 0.00%     7.184MiB / 11.57GiB   47.4kB / 77.7kB   0B / 1.13MB     7
CONTAINER      NAME                                                                                                    CPU %     MEM USAGE / LIMIT     NET I/O           BLOCK I/O       PIDS
84e7a3a3d7c5   dev-peer0.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   18.09%    9.023MiB / 2GiB       29.8MB / 24.9MB   0B / 0B         8
31a943db948e   dev-peer0.org2.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   0.00%     5.812MiB / 2GiB       355kB / 420kB     0B / 0B         7
6cc19a534190   dev-peer1.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   22.54%    8.25MiB / 2GiB        31.2MB / 26MB     0B / 0B         9
fb9114b209da   dev-peer3.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   22.76%    8.48MiB / 2GiB        31.2MB / 26MB     0B / 0B         9
d3772be92cd6   dev-peer2.org2.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   0.00%     5.145MiB / 2GiB       7.76kB / 4.58kB   0B / 0B         7
466e51efcc70   dev-peer1.org2.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   0.00%     5.348MiB / 2GiB       7.89kB / 4.69kB   0B / 0B         7
e4efb9669bcf   dev-peer2.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   23.94%    8.168MiB / 2GiB       31.3MB / 26.1MB   0B / 0B         9
6d5ec4da5944   dev-peer3.org2.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   0.00%     5.566MiB / 2GiB       7.72kB / 4.47kB   0B / 0B         7
06a857bd7e05   peer3.org2.example.com                                                                                  2.10%     87.09MiB / 11.57GiB   6.1MB / 3.11MB    0B / 3.44MB     10
ce2cc2b841dd   peer2.org2.example.com                                                                                  1.91%     83.62MiB / 11.57GiB   6.13MB / 3.19MB   0B / 3.43MB     10
cfe9e87c5865   peer1.org2.example.com                                                                                  1.25%     84.71MiB / 11.57GiB   6.16MB / 3.18MB   0B / 3.43MB     10
580daecde2b3   peer3.org1.example.com                                                                                  11.03%    89.79MiB / 11.57GiB   33.4MB / 84.8MB   0B / 3.44MB     10
d412be458b33   peer2.org1.example.com                                                                                  10.46%    79.24MiB / 11.57GiB   33.5MB / 84.9MB   0B / 3.43MB     10
de1839e03f38   peer1.org1.example.com                                                                                  12.63%    89.62MiB / 11.57GiB   33.5MB / 85.2MB   0B / 3.43MB     10
41032be9efd7   cli                                                                                                     0.00%     1.07MiB / 11.57GiB    110kB / 17.4kB    0B / 336kB      1
1d022ede98c8   peer0.org1.example.com                                                                                  37.99%    100.2MiB / 11.57GiB   101MB / 83.3MB    0B / 3.36MB     11
cfbeb89ca648   peer0.org2.example.com                                                                                  3.01%     74.44MiB / 11.57GiB   7.05MB / 4.13MB   0B / 3.36MB     10
